GroupId_3,GroupName_3,Text_3
"A.05.01.01","Information security policy document","An information security policy document shall be approved by management, and published and communicated to all employees and relevant external parties"
"A.05.01.02","Review of the information security policy","The information security policy shall be reviewed at planned intervals or if significant changes occur to ensure its continuing suitability, adequacy, and effectiveness"
"A.06.01.01","Management commitment to information security","Management shall actively support security within the organization through clear direction, demonstrated commitment, explicit assignment, and acknowledgement of information security responsibilities"
"A.06.01.02","Information security coordination","Information security activities shall be coordinated by representatives from different parts of the organization with relevant roles and job functions"
"A.06.01.03","Allocation of information security responsibilities","All information security responsibilities shall be clearly defined"
"A.06.01.04","Authorization process for information processing facilities","A management authorization process for new information processing facilities shall be defined and implemented"
"A.06.01.05","Confidentiality agreements","Requirements for confidentiality or non-disclosure agreements reflecting the organization’s needs for the protection of information shall be identified and regularly reviewed"
"A.06.01.06","Contact with authorities","Appropriate contacts with relevant authorities shall be maintained"
"A.06.01.07","Contact with special interest groups","Appropriate contacts with special interest groups or other specialist security forums and professional associations shall be maintained"
"A.06.01.08","Independent review of information security","The organization’s approach to managing information security and its implementation (i.e. control objectives, controls, policies, processes, and procedures for information security) shall be reviewed independently at planned intervals, or when significant changes to the security implementation occur"
"A.06.02.01","Identification of risks related to external parties","Control - The risks to the organization’s information and information processing facilities from business processes involving external parties shall be identified and appropriate controls implemented before granting access"
"A.06.02.02","Addressing security when dealing with customers","Control - All identified security requirements shall be addressed before giving customers access to the organization’s information or assets"
"A.06.02.03","Addressing security in third party agreements","Control - Agreements with third parties involving accessing, processing, communicating or managing the organization’s information or information processing facilities, or adding products or services to information processing facilities shall cover all relevant security requirements"
"A.07.01.01","Inventory of assets","All assets shall be clearly identified and an inventory of all important assets drawn up and maintained"
"A.07.01.02","Ownership of asset","All information and assets associated with information processing facilities shall be ‘owned’ by a designated part of the organization"
"A.07.01.03","Acceptable use of asset","Rules for the acceptable use of information and assets associated with information processing facilities shall be identified, documented, and implemented"
"A.07.02.01","Classification guidelines","Information shall be classified in terms of its value, legal requirements, sensitivity and criticality to the organization"
"A.07.02.02","Information labelling and handling","An appropriate set of procedures for information labelling and handling shall be developed and implemented in accordance with the classification scheme adopted by the organization"
"A.08.01.01","Roles and responsibilities","Control - Security roles and responsibilities of employees, contractors and third party users shall be defined and documented in accordance with the organization’s information security policy"
"A.08.01.02","Screening","Control - Background verification checks on all candidates for employment, contractors, and third party users shall be carried out in accordance with relevant laws, regulations and ethics, and proportional to the business requirements, the classification of the information to be accessed, and the perceived risks"
"A.08.01.03","Terms and conditions of employment","Control - As part of their contractual obligation, employees, contractors and third party users shall agree and sign the terms and conditions of their employment contract, which shall state their and the organization’s responsibilities for information security"
"A.08.02.01","Management responsibilities","Control - Management shall require employees, contractors and third party users to apply security in accordance with established policies and procedures of the organization"
"A.08.02.02","Information security awareness, education and training","Control - All employees of the organization and, where relevant, contractors and third party users shall receive appropriate awareness training and regular updates in organizational policies and procedures, as relevant for their job function"
"A.08.02.03","Disciplinary process","Control - There shall be a formal disciplinary process for employees who have committed a security breach"
"A.08.03.01","Termination responsibilities","Control - Responsibilities for performing employment termination or change of employment shall be clearly defined and assigned"
"A.08.03.02","Return of assets","Control - All employees, contractors and third party users shall return all of the organization’s assets in their possession upon termination of their employment, contract or agreement"
"A.08.03.03","Removal of access rights","Control - The access rights of all employees, contractors and third party users to information and information processing facilities shall be removed upon termination of their employment, contract or agreement, or adjusted upon change"
"A.09.01.01","Physical security perimeter","Control - Security perimeters (barriers such as walls, card controlled entry gates or manned reception desks) shall be used to protect areas that contain information and information processing facilities"
"A.09.01.02","Physical entry controls","Control - Secure areas shall be protected by appropriate entry controls to ensure that only authorized personnel are allowed access"
"A.09.01.03","Securing offices, rooms and facilities","Control - Physical security for offices, rooms, and facilities shall be designed and applied"
"A.09.01.04","Protecting against external and environmental threats","Control - Physical protection against damage from fire, flood, earthquake, explosion, civil unrest, and other forms of natural or man-made disaster shall be designed and applied"
"A.09.01.05","Working in secure areas","Control - Physical protection and guidelines for working in secure areas shall be designed and applied"
"A.09.01.06","Public access, delivery and loading areas","Control - Access points such as delivery and loading areas and other points where unauthorized persons may enter the premises shall be controlled and, if possible, isolated from information processing facilities to avoid unauthorized access"
"A.09.02.01","Equipment siting and protection","Control - Equipment shall be sited or protected to reduce the risks from environmental threats and hazards, and opportunities for unauthorized access"
"A.09.02.02","Supporting utilities","Control - Equipment shall be protected from power failures and other disruptions caused by failures in supporting utilities"
"A.09.02.03","Cabling security","Control - Power and telecommunications cabling carrying data or supporting information services shall be protected from interception or damage"
"A.09.02.04","Equipment maintenance","Control - Equipment shall be correctly maintained to ensure its continued availability and integrity"
"A.09.02.05","Security of equipment off premises","Control - Security shall be applied to off-site equipment taking into account the different risks of working outside the organization’s premises"
"A.09.02.06","Secure disposal or re-use of equipment","Control - All items of equipment containing storage media shall be checked to ensure that any sensitive data and licensed software has been removed or securely overwritten prior to disposal"
"A.09.02.07","Removal of property","Control - Equipment, information or software shall not be taken off-site without prior authorization"
"A.10.01.01","Documented operating procedures","Control - Operating procedures shall be documented, maintained, and made available to all users who need them"
"A.10.01.02","Change management","Control - Changes to information processing facilities and systems shall be controlled"
"A.10.01.03","Segregation of duties","Control - Duties and areas of responsibility shall be segregated to reduce opportunities for unauthorized or unintentional modification or misuse of the organization’s assets"
"A.10.01.04","Separation of development, test and operational facilities","Control - Development, test and operational facilities shall be separated to reduce the risks of unauthorised access or changes to the operational system"
"A.10.02.01","Service delivery","It shall be ensured that the security controls, service definitions and delivery levels included in the third party service delivery agreement are implemented, operated, and maintained by the third party"
"A.10.02.02","Monitoring and review of third party services","The services, reports and records provided by the third party shall be regularly monitored and reviewed, and audits shall be carried out regularly"
"A.10.02.03","Managing changes to third party services","Changes to the provision of services, including maintaining and improving existing information security policies, procedures and controls, shall be managed, taking account of the criticality of business systems and processes involved and re-assessment of risks"
"A.10.03.01","Capacity management","Control - The use of resources shall be monitored, tuned, and projections made of future capacity requirements to ensure the required system performance"
"A.10.03.02","System acceptance","Control - Acceptance criteria for new information systems, upgrades, and new versions shall be established and suitable tests of the system(s) carried out during development and prior to acceptance"
"A.10.04.01","Controls against malicious code","Detection, prevention, and recovery controls to protect against malicious code and appropriate user awareness procedures shall be implemented"
"A.10.04.02","Controls against mobile code","Where the use of mobile code is authorized, the configuration shall ensure that the authorized mobile code operates according to a clearly defined security policy, and unauthorized mobile code shall be prevented from executing"
"A.10.05.01","Information back-up","Back-up copies of information and software shall be taken and tested regularly in accordance with the agreed backup policy"
"A.10.06.01","Network controls","Control - Networks shall be adequately managed and controlled, in order to be protected from threats, and to maintain security for the systems and applications using the network, including information in transit"
"A.10.06.02","Security of network services","Control - Security features, service levels, and management requirements of all network services shall be identified and included in any network services agreement, whether these services are provided in-house or outsourced"
"A.10.07.01","Management of removable media","There shall be procedures in place for the management of removable media"
"A.10.07.02","Disposal of media","Media shall be disposed of securely and safely when no longer required, using formal procedures"
"A.10.07.03","Information handling procedures","Procedures for the handling and storage of information shall be established to protect this information from unauthorized disclosure or misuse"
"A.10.07.04","Security of system documentation","System documentation shall be protected against unauthorized access"
"A.10.08.01","Information exchange policies and procedures","Formal exchange policies, procedures, and controls shall be in place to protect the exchange of information through the use of all types of communication facilities"
"A.10.08.02","Exchange agreements","Agreements shall be established for the exchange of information and software between the organization and external parties"
"A.10.08.03","Physical media in transit","Media containing information shall be protected against unauthorized access, misuse or corruption during transportation beyond an organization’s physical boundaries"
"A.10.08.04","Electronic messaging","Information involved in electronic messaging shall be appropriately protected"
"A.10.08.05","Business information systems","Policies and procedures shall be developed and implemented to protect information associated with the interconnection of business information systems"
"A.10.09.01","Electronic commerce","Information involved in electronic commerce passing over public networks shall be protected from fraudulent activity, contract dispute, and unauthorized disclosure and modification"
"A.10.09.02","On-line transactions","Information involved in on-line transactions shall be protected to prevent incomplete transmission, mis-routing, unauthorized message alteration, unauthorized disclosure, unauthorized message duplication or replay"
"A.10.09.03","Publicly available information","The integrity of information being made available on a publicly available system shall be protected to prevent unauthorized modification"
"A.10.10.01","Audit logging","Audit logs recording user activities, exceptions, and information security events shall be produced and kept for an agreed period to assist in future investigations and access control monitoring"
"A.10.10.02","Monitoring system use","Procedures for monitoring use of information processing facilities shall be established and the results of the monitoring activities reviewed regularly"
"A.10.10.03","Protection of log information","Logging facilities and log information shall be protected against tampering and unauthorized access"
"A.10.10.04","Administrator and operator logs","System administrator and system operator activities shall be logged"
"A.10.10.05","Fault logging","Faults shall be logged, analysed, and appropriate action taken"
